Product,Customer,Qtr 1,Qtr 2,Qtr 3,Qtr 4
Camembert Pierrot,FRANK,$0.00,$0.00,$612.00,$0.00
Camembert Pierrot,FURIB,$544.00,$0.00,$0.00,$0.00
Camembert Pierrot,GOURL,$0.00,$0.00,$0.00,$340.00
Camembert Pierrot,LEHMS,$0.00,$892.50,$0.00,$0.00
Camembert Pierrot,MEREP,$0.00,$0.00,"$2,261.00",$0.00
Camembert Pierrot,OTTIK,$0.00,$0.00,"$1,020.00",$0.00
Camembert Pierrot,QUEEN,$0.00,$0.00,$0.00,$510.00
Camembert Pierrot,QUICK,$0.00,"$2,427.60","$1,776.50",$0.00
Camembert Pierrot,RICAR,"$1,088.00",$0.00,$0.00,$0.00
Camembert Pierrot,RICSU,"$1,550.40",$0.00,$0.00,$0.00
Camembert Pierrot,SAVEA,$0.00,$0.00,"$2,380.00",$0.00
Camembert Pierrot,WARTH,$0.00,$693.60,$0.00,$0.00
Camembert Pierrot,WOLZA,$0.00,$0.00,$510.00,$0.00
Chef Anton's Cajun Seasoning,BERGS,$0.00,$0.00,$237.60,$0.00
Chef Anton's Cajun Seasoning,BONAP,$0.00,$935.00,$0.00,$0.00
Chef Anton's Cajun Seasoning,EASTC,$0.00,$0.00,$0.00,$550.00
Chef Anton's Cajun Seasoning,FOLKO,$0.00,"$1,045.00",$0.00,$0.00
Chef Anton's Cajun Seasoning,FURIB,$225.28,$0.00,$0.00,$0.00
Chef Anton's Cajun Seasoning,MAGAA,$0.00,$0.00,$198.00,$0.00
Chef Anton's Cajun Seasoning,QUEEN,$0.00,$0.00,$0.00,$132.00
Chef Anton's Cajun Seasoning,QUICK,$0.00,$990.00,$0.00,$0.00
Chef Anton's Cajun Seasoning,TRADH,$0.00,$0.00,$352.00,$0.00
Chef Anton's Cajun Seasoning,WARTH,$0.00,$0.00,$550.00,$0.00
Chef Anton's Gumbo Mix,MAGAA,$0.00,$0.00,$288.22,$0.00
Chef Anton's Gumbo Mix,THEBI,$0.00,$0.00,$0.00,$85.40
Filo Mix,AROUT,$0.00,$210.00,$0.00,$56.00
Filo Mix,BERGS,$0.00,$0.00,$0.00,$175.00
Filo Mix,BLONP,$112.00,$0.00,$0.00,$0.00
Filo Mix,DUMON,$0.00,$0.00,$63.00,$0.00
Filo Mix,FAMIA,$0.00,$0.00,$0.00,$28.00
Filo Mix,LAUGB,$0.00,$0.00,$35.00,$0.00
Filo Mix,NORTS,$0.00,$42.00,$0.00,$0.00
Filo Mix,OLDWO,$0.00,$0.00,$168.00,$0.00
Filo Mix,REGGC,$0.00,$0.00,$23.80,$0.00
Filo Mix,RICAR,$0.00,$490.00,$0.00,$0.00
Filo Mix,RICSU,$0.00,$0.00,$0.00,$420.00
Filo Mix,TOMSP,$75.60,$0.00,$0.00,$0.00
Filo Mix,VAFFE,$0.00,$0.00,$0.00,$99.75
Filo Mix,VINET,$0.00,$0.00,$0.00,$126.00
Gorgonzola Telino,AROUT,$0.00,$0.00,$0.00,$625.00
Gorgonzola Telino,BLONP,$0.00,$593.75,$0.00,$0.00
Gorgonzola Telino,BONAP,$0.00,$0.00,$0.00,$35.62
Gorgonzola Telino,CACTU,$0.00,$0.00,$0.00,$12.50
Gorgonzola Telino,ERNSH,$0.00,$0.00,$0.00,$890.00
Gorgonzola Telino,FOLKO,$0.00,$0.00,$0.00,$18.75
Gorgonzola Telino,GOURL,$140.00,$0.00,$0.00,$0.00
Gorgonzola Telino,HANAR,$0.00,$0.00,$0.00,$125.00
Gorgonzola Telino,HILAA,$0.00,$0.00,$0.00,$250.00
Gorgonzola Telino,HUNGO,$0.00,$600.00,$0.00,$0.00
Gorgonzola Telino,LEHMS,$0.00,$250.00,$0.00,$0.00
Gorgonzola Telino,OLDWO,$0.00,$0.00,$187.50,$0.00
Gorgonzola Telino,PICCO,$0.00,$0.00,$0.00,$100.00
Gorgonzola Telino,QUEEN,$0.00,$0.00,$237.50,$0.00
Gorgonzola Telino,QUICK,$0.00,$584.37,$0.00,$0.00
Gorgonzola Telino,RATTC,$0.00,$421.25,$0.00,$0.00
Gorgonzola Telino,RICSU,$0.00,$375.00,$0.00,$0.00
Gorgonzola Telino,SAVEA,$0.00,$0.00,$0.00,$625.00
Gorgonzola Telino,SUPRD,$297.50,$0.00,$0.00,$0.00
Gorgonzola Telino,TOMSP,$27.00,$0.00,$0.00,$0.00
Gorgonzola Telino,TORTU,$0.00,$250.00,$0.00,$0.00
Gorgonzola Telino,TRADH,$0.00,$190.00,$0.00,$0.00
Gorgonzola Telino,WANDK,$0.00,$0.00,$90.00,$0.00
Gorgonzola Telino,WARTH,$0.00,$375.00,$0.00,$0.00
Grandma's Boysenberry Spread,GOURL,$0.00,$0.00,$0.00,$750.00
Grandma's Boysenberry Spread,MEREP,$0.00,$0.00,"$1,750.00",$0.00
Ipoh Coffee,ANTON,$0.00,$586.50,$0.00,$0.00
Ipoh Coffee,BERGS,$0.00,"$2,760.00",$0.00,$0.00
Ipoh Coffee,FURIB,$110.40,$0.00,$0.00,$0.00
Ipoh Coffee,KOENE,$552.00,$0.00,$0.00,$0.00
Ipoh Coffee,MAISD,$0.00,$0.00,$0.00,"$1,035.00"
Ipoh Coffee,OLDWO,$0.00,$0.00,$0.00,"$1,104.00"
Ipoh Coffee,PICCO,$0.00,"$1,150.00",$0.00,$0.00
Ipoh Coffee,QUICK,$0.00,$0.00,$0.00,"$1,840.00"
Ipoh Coffee,SUPRD,$736.00,$0.00,$0.00,$0.00
Ipoh Coffee,WELLI,$0.00,$0.00,$920.00,$0.00
Ipoh Coffee,WILMK,$0.00,$0.00,$276.00,$0.00
Jack's New England Clam Chowder,AROUT,$0.00,$0.00,$0.00,$135.10
Jack's New England Clam Chowder,BERGS,$231.00,$0.00,$0.00,$96.50
Jack's New England Clam Chowder,BLONP,$0.00,$110.01,$0.00,$0.00
Jack's New England Clam Chowder,BOTTM,$154.00,$0.00,$0.00,$0.00
Jack's New England Clam Chowder,CACTU,$0.00,$96.50,$0.00,$0.00
Jack's New England Clam Chowder,FAMIA,$0.00,$0.00,$0.00,$115.80
Jack's New England Clam Chowder,FRANK,$0.00,$0.00,$0.00,$183.35
Jack's New England Clam Chowder,GOURL,$0.00,$0.00,$38.60,$0.00
Jack's New England Clam Chowder,HUNGO,$0.00,$694.80,$0.00,$0.00
Jack's New England Clam Chowder,LAUGB,$0.00,$154.00,$0.00,$0.00
Jack's New England Clam Chowder,OTTIK,$0.00,$82.51,$0.00,$0.00
Jack's New England Clam Chowder,PICCO,$0.00,$0.00,$0.00,$337.75
Jack's New England Clam Chowder,REGGC,$0.00,$0.00,$154.40,$0.00
Jack's New England Clam Chowder,SAVEA,$0.00,$0.00,"$1,389.60",$405.30
Jack's New England Clam Chowder,SEVES,$0.00,$52.11,$0.00,$0.00
Jack's New England Clam Chowder,TOMSP,$0.00,$135.10,$0.00,$0.00
Jack's New England Clam Chowder,VAFFE,$0.00,$0.00,$0.00,$275.02
Jack's New England Clam Chowder,VINET,$0.00,$0.00,$0.00,$115.80
Laughing Lumberjack Lager,FRANK,$0.00,$0.00,$350.00,$0.00
Laughing Lumberjack Lager,LONEP,$0.00,$98.00,$0.00,$0.00
Laughing Lumberjack Lager,PERIC,$0.00,$420.00,$0.00,$0.00
Laughing Lumberjack Lager,THECR,$0.00,$0.00,$0.00,$42.00
Longlife Tofu,FRANS,$0.00,$0.00,$0.00,$50.00
Longlife Tofu,HILAA,$128.00,$0.00,$0.00,$0.00
Longlife Tofu,MEREP,$240.00,$0.00,$0.00,$0.00
Longlife Tofu,QUICK,$120.00,$0.00,$0.00,$0.00
Longlife Tofu,VICTE,$0.00,$0.00,$0.00,$112.50
Longlife Tofu,WARTH,$0.00,$0.00,$0.00,$350.00
Louisiana Fiery Hot Pepper Sauce,BONAP,$0.00,$0.00,$0.00,$199.97
Louisiana Fiery Hot Pepper Sauce,ERNSH,$0.00,$820.95,$0.00,"$1,299.84"
Louisiana Fiery Hot Pepper Sauce,FRANR,$0.00,$0.00,$252.60,$0.00
Louisiana Fiery Hot Pepper Sauce,FURIB,$0.00,$0.00,$268.39,$0.00
Louisiana Fiery Hot Pepper Sauce,HANAR,$0.00,$682.02,$0.00,$0.00
Louisiana Fiery Hot Pepper Sauce,HUNGO,$0.00,$421.00,$0.00,$842.00
Louisiana Fiery Hot Pepper Sauce,LAMAI,$0.00,$226.80,$0.00,$0.00
Louisiana Fiery Hot Pepper Sauce,LINOD,$0.00,$0.00,$442.05,$0.00
Louisiana Fiery Hot Pepper Sauce,OTTIK,$0.00,$599.92,$0.00,$0.00
Louisiana Fiery Hot Pepper Sauce,PICCO,$0.00,$0.00,$202.08,$0.00
Louisiana Fiery Hot Pepper Sauce,QUICK,$423.36,$0.00,$0.00,"$1,515.60"
Louisiana Fiery Hot Pepper Sauce,RATTC,$336.00,$0.00,$0.00,$0.00
Louisiana Fiery Hot Pepper Sauce,RICAR,$588.00,$0.00,$0.00,$0.00
Louisiana Fiery Hot Pepper Sauce,RICSU,$0.00,$0.00,$210.50,$0.00
Louisiana Fiery Hot Pepper Sauce,VICTE,$0.00,$0.00,$0.00,$42.10
Louisiana Hot Spiced Okra,ANTON,$0.00,$0.00,$68.00,$0.00
Louisiana Hot Spiced Okra,EASTC,$0.00,$408.00,$0.00,$0.00
Louisiana Hot Spiced Okra,ERNSH,$816.00,$0.00,$0.00,$0.00
Louisiana Hot Spiced Okra,FOLKO,$0.00,$0.00,$0.00,$850.00
Louisiana Hot Spiced Okra,LAMAI,$0.00,$122.40,$0.00,$0.00
Louisiana Hot Spiced Okra,SUPRD,$693.60,$0.00,$0.00,$0.00
Mozzarella di Giovanni,BOTTM,$0.00,$0.00,$0.00,"$1,218.00"
Mozzarella di Giovanni,BSBEV,$0.00,$34.80,$0.00,$0.00
Mozzarella di Giovanni,CONSH,$278.00,$0.00,$0.00,$0.00
Mozzarella di Giovanni,FOLKO,$0.00,$835.20,$0.00,$0.00
Mozzarella di Giovanni,GREAL,$0.00,$313.20,$0.00,$0.00
Mozzarella di Giovanni,ISLAT,$0.00,$0.00,$0.00,$348.00
Mozzarella di Giovanni,LEHMS,$0.00,$695.00,$0.00,$0.00
Mozzarella di Giovanni,LINOD,$0.00,$0.00,"$2,088.00",$0.00
Mozzarella di Giovanni,MAGAA,$0.00,$0.00,$0.00,$887.40
Mozzarella di Giovanni,MAISD,$0.00,$0.00,$522.00,$0.00
Mozzarella di Giovanni,MORGK,$0.00,"$1,044.00",$0.00,$0.00
Mozzarella di Giovanni,QUICK,$0.00,$0.00,$0.00,$243.60
Mozzarella di Giovanni,RICSU,$0.00,$730.80,$0.00,$0.00
Mozzarella di Giovanni,SAVEA,$0.00,$0.00,$417.60,$0.00
Mozzarella di Giovanni,SIMOB,$0.00,$835.20,$0.00,$0.00
Mozzarella di Giovanni,VICTE,"$1,112.00",$0.00,$0.00,$0.00
Northwoods Cranberry Sauce,BONAP,$0.00,$340.00,$0.00,$0.00
Northwoods Cranberry Sauce,GOURL,$0.00,$0.00,$0.00,"$1,600.00"
Northwoods Cranberry Sauce,LEHMS,$0.00,$960.00,$0.00,$0.00
Northwoods Cranberry Sauce,QUEEN,$0.00,$0.00,$0.00,$960.00
Northwoods Cranberry Sauce,WILMK,$0.00,$0.00,$0.00,$400.00
Ravioli Angelo,ANTON,$0.00,$87.75,$0.00,$0.00
Ravioli Angelo,AROUT,$0.00,$0.00,$0.00,$780.00
Ravioli Angelo,BLAUS,$0.00,$78.00,$0.00,$0.00
Ravioli Angelo,BONAP,$0.00,$0.00,$0.00,$204.75
Ravioli Angelo,BSBEV,$0.00,$117.00,$0.00,$0.00
Ravioli Angelo,PICCO,$0.00,$0.00,$390.00,$0.00
Ravioli Angelo,TOMSP,$187.20,$0.00,$0.00,$0.00
Ravioli Angelo,WARTH,$312.00,$0.00,$0.00,$0.00
Sasquatch Ale,ANTON,$0.00,$560.00,$0.00,$0.00
Sasquatch Ale,SAVEA,$0.00,$0.00,$0.00,$554.40
Sasquatch Ale,THEBI,$0.00,$0.00,$0.00,$140.00
Sasquatch Ale,TOMSP,$179.20,$105.00,$0.00,$0.00
Sasquatch Ale,VAFFE,$0.00,$0.00,$0.00,$196.00
Sasquatch Ale,WHITC,$372.40,$0.00,$0.00,$0.00
Sir Rodney's Marmalade,ERNSH,$0.00,"$3,159.00",$0.00,$0.00
Sir Rodney's Marmalade,HUNGC,$0.00,$0.00,"$1,701.00",$0.00
Sir Rodney's Marmalade,LEHMS,$0.00,$0.00,"$1,360.80",$0.00
Sir Rodney's Marmalade,SEVES,$0.00,"$1,093.50",$0.00,$0.00
Sir Rodney's Scones,BLAUS,$0.00,$0.00,$80.00,$0.00
Sir Rodney's Scones,BSBEV,$112.00,$150.00,$0.00,$0.00
Sir Rodney's Scones,CHOPS,$0.00,$0.00,$0.00,$380.00
Sir Rodney's Scones,DUMON,$0.00,$0.00,$60.00,$0.00
Sir Rodney's Scones,ERNSH,$400.00,$0.00,$0.00,$0.00
Sir Rodney's Scones,FOLIG,$0.00,$0.00,$0.00,$400.00
Sir Rodney's Scones,FRANK,$0.00,$0.00,$225.00,$304.00
Sir Rodney's Scones,GODOS,$0.00,$54.00,$0.00,$0.00
Sir Rodney's Scones,GREAL,$0.00,$0.00,$108.00,$0.00
Sir Rodney's Scones,KOENE,$272.00,$0.00,$0.00,$0.00
Sir Rodney's Scones,LILAS,$240.00,$0.00,$0.00,$0.00
Sir Rodney's Scones,LINOD,$0.00,$0.00,$0.00,$300.00
Sir Rodney's Scones,MEREP,$0.00,$0.00,$420.00,$0.00
Sir Rodney's Scones,OCEAN,$96.00,$0.00,$0.00,$0.00
Sir Rodney's Scones,PRINI,$126.00,$0.00,$0.00,$0.00
Sir Rodney's Scones,QUEEN,$216.00,$0.00,$0.00,$0.00
Sir Rodney's Scones,QUICK,$0.00,$0.00,$600.00,$0.00
Sir Rodney's Scones,RANCH,$0.00,$0.00,$0.00,$50.00
Sir Rodney's Scones,SIMOB,$0.00,$0.00,$240.00,$0.00
Sir Rodney's Scones,WANDK,$0.00,$320.00,$0.00,$0.00
Sir Rodney's Scones,WHITC,$0.00,$120.00,$0.00,$0.00
Steeleye Stout,BERGS,$115.20,$0.00,$0.00,$0.00
Steeleye Stout,BSBEV,$0.00,$360.00,$0.00,$0.00
Steeleye Stout,CACTU,$0.00,$54.00,$0.00,$0.00
Steeleye Stout,EASTC,$504.00,$0.00,$0.00,$0.00
Steeleye Stout,ERNSH,$0.00,$0.00,$405.00,$0.00
Steeleye Stout,FOLIG,$0.00,$0.00,$0.00,$270.00
Steeleye Stout,FRANK,$0.00,$0.00,$486.00,$0.00
Steeleye Stout,FURIB,$0.00,$306.00,$0.00,$0.00
Steeleye Stout,GREAL,$0.00,$0.00,$72.00,$0.00
Steeleye Stout,LINOD,$0.00,$0.00,$0.00,$121.50
Steeleye Stout,MEREP,$691.20,$0.00,$0.00,$0.00
Steeleye Stout,QUEDE,$0.00,$0.00,$360.00,$378.00
Steeleye Stout,VICTE,$0.00,$540.00,$0.00,$0.00
Steeleye Stout,WARTH,$0.00,$108.00,$0.00,$0.00
Steeleye Stout,WHITC,$0.00,$0.00,$0.00,$504.00
Teatime Chocolate Biscuits,FAMIA,$124.83,$0.00,$0.00,$0.00
Teatime Chocolate Biscuits,FRANK,$0.00,$0.00,$124.20,$0.00
Teatime Chocolate Biscuits,FRANS,$0.00,$0.00,$0.00,$46.00
Teatime Chocolate Biscuits,GODOS,$0.00,$92.00,$0.00,$0.00
Teatime Chocolate Biscuits,GREAL,$0.00,$0.00,$248.40,$0.00
Teatime Chocolate Biscuits,ISLAT,$0.00,$0.00,$46.00,$0.00
Teatime Chocolate Biscuits,LINOD,$0.00,$0.00,$0.00,$48.30
Teatime Chocolate Biscuits,QUEDE,$24.82,$0.00,$276.00,$0.00
Teatime Chocolate Biscuits,QUEEN,$36.50,$0.00,$0.00,$0.00
Teatime Chocolate Biscuits,QUICK,$0.00,$0.00,$0.00,$437.00
Teatime Chocolate Biscuits,RICAR,$292.00,$0.00,$0.00,$0.00
Teatime Chocolate Biscuits,SAVEA,$0.00,$257.60,$0.00,$110.40
Teatime Chocolate Biscuits,SUPRD,$153.30,$0.00,$0.00,$0.00
Teatime Chocolate Biscuits,TOMSP,$166.44,$0.00,$0.00,$0.00
Teatime Chocolate Biscuits,TORTU,$0.00,$0.00,$64.40,$0.00
Teatime Chocolate Biscuits,WANDK,$0.00,$0.00,$82.80,$0.00
Teatime Chocolate Biscuits,WARTH,$146.00,$0.00,$0.00,$0.00
Teatime Chocolate Biscuits,WELLI,$0.00,$0.00,$0.00,$209.76
Uncle Bob's Organic Dried Pears,BONAP,$0.00,"$1,275.00",$0.00,$0.00
Uncle Bob's Organic Dried Pears,BSBEV,$720.00,$0.00,$0.00,$0.00
Uncle Bob's Organic Dried Pears,FOLIG,$0.00,$0.00,"$1,050.00",$0.00
Uncle Bob's Organic Dried Pears,GOURL,$0.00,$0.00,$0.00,$76.50
Uncle Bob's Organic Dried Pears,OTTIK,$0.00,$0.00,$0.00,"$1,050.00"
Uncle Bob's Organic Dried Pears,QUICK,$0.00,$0.00,$0.00,"$2,700.00"
Uncle Bob's Organic Dried Pears,SAVEA,$0.00,$0.00,"$1,350.00",$0.00
Uncle Bob's Organic Dried Pears,VAFFE,$0.00,$0.00,$300.00,$0.00
Uncle Bob's Organic Dried Pears,VICTE,$364.80,$300.00,$0.00,$0.00
Veggie-spread,ALFKI,$0.00,$0.00,$0.00,$878.00
Veggie-spread,ERNSH,"$2,281.50",$0.00,$0.00,$0.00
Veggie-spread,FOLIG,$0.00,$0.00,$0.00,"$1,317.00"
Veggie-spread,HUNGO,$921.37,$0.00,$0.00,$0.00
Veggie-spread,MORGK,$0.00,$263.40,$0.00,$0.00
Veggie-spread,PICCO,$0.00,$0.00,$0.00,$395.10
Veggie-spread,WHITC,$0.00,$0.00,$842.88,$0.00
